
['barbour hall', 'barbour fl 1 a', 'pbarbour 140', 'barbour 140 141', 'barbour 140 141-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']
['danoff hall', 'danoff fl 4', 'danoff 420', 'danoff 420 420c', 'danoff 420 420c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 420', 'danoff 420 420d', 'danoff 420 420d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 5', 'danoff 511', 'danoff 511 511b', 'danoff 511 511b-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['danoff hall', 'danoff fl 5', 'danoff 514', 'danoff 514 514a', 'danoff 514 514a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 5', 'danoff 514', 'danoff 514 514b', 'danoff 514 514b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 5', 'danoff 514', 'danoff 514 514c', 'danoff 514 514c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 5', 'danoff 514', 'danoff 514 514d', 'danoff 514 514d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 5', 'danoff 515', 'danoff 515 515b', 'danoff 515 515b-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['danoff hall', 'danoff fl 5', 'danoff 520', 'danoff 520 520a', 'danoff 520 520a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 5', 'danoff 520', 'danoff 520 520b', 'danoff 520 520b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 5', 'danoff 520', 'danoff 520 520c', 'danoff 520 520c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 5', 'danoff 520', 'danoff 520 520d', 'danoff 520 520d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['grad center a', 'gradctr a fl 3', 'gradctr a 320', 'gradctr a 320 321', 'gradctr a 320 321-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center a', 'gradctr a fl 3', 'gradctr a 320', 'gradctr a 320 322', 'gradctr a 320 322-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center a', 'gradctr a fl 3', 'gradctr a 320', 'gradctr a 320 323', 'gradctr a 320 323-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center a', 'gradctr a fl 3', 'gradctr a 320', 'gradctr a 320 324', 'gradctr a 320 324-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center b', 'gradctr b fl 2', 'gradctr b 220', 'gradctr b 220 221', 'gradctr b 220 221-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center b', 'gradctr b fl 2', 'gradctr b 220', 'gradctr b 220 222', 'gradctr b 220 222-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center b', 'gradctr b fl 2', 'gradctr b 220', 'gradctr b 220 223', 'gradctr b 220 223-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center b', 'gradctr b fl 2', 'gradctr b 220', 'gradctr b 220 224', 'gradctr b 220 224-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center b', 'gradctr b fl 3', 'gradctr b 330', 'gradctr b 330 331', 'gradctr b 330 331-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

